,ratio_speak,mean_nrj,std_nrj,skewness_nrj,kurtosis_nrj
SEQ_001,0.37872340425531914,-2.9634441078946403,0.8985531885032509,-0.3334008237163849,0.13672738912629034
SEQ_002,0.25842696629213485,-2.204452464367769,0.6880764531600871,-0.8633314626727339,0.7388963383585927
SEQ_003,0.5615384615384615,-1.6760724813308874,0.2660555905727162,-1.805421862326765,3.791511194046641
SEQ_004,0.3293172690763052,-2.0453361871231905,0.3685934260380617,-2.6425056819345896,11.053252647282747
SEQ_005,0.44201680672268906,-2.4401049777068806,0.4041690960681545,-1.0508415820989156,3.0172829799989582
SEQ_006,0.31693989071038253,-2.429614296567995,0.8543936317317449,-0.07749449394690003,-1.3285049874371266
SEQ_007,0.4890282131661442,-2.320224037327381,0.7589542099710126,-1.1754738763219126,1.614266373511863
SEQ_008,0.5024271844660194,-2.3382618834983675,0.5777625623024584,-0.5008679471081644,0.4641299545009092
SEQ_009,0.6193548387096774,-1.6275044970183161,0.30869826536417216,-0.8246593978181925,0.39704470781498635
SEQ_010,0.4106776180698152,-2.428320375174233,0.5801060698937006,-1.1758902571743102,1.7828391453093735
SEQ_011,0.36490683229813664,-2.849185509464026,0.9974495827308961,-1.3441027477559566,1.3342168889429749
SEQ_012,0.4771084337349398,-2.5713744742775466,0.8559514469311885,-0.9124694161892759,0.6178401550381127
SEQ_013,0.2909698996655518,-2.583505843976504,0.48624122216204696,-0.7242525075059126,1.4512131066722658
SEQ_014,0.5552631578947368,-2.182757041525156,0.5282489561575427,-2.3755162197869737,7.617239829444188
SEQ_015,0.4214046822742475,-2.3519637618518607,0.667007028425196,-0.9442319959391507,2.2319995289312384
SEQ_016,0.32604735883424407,-2.660411440817813,0.8146239381921567,-1.4722634170328317,2.12774047073116
SEQ_017,0.4723684210526316,-2.5144745558948975,0.5238767976189964,-1.9034877192474084,8.705772274853242
SEQ_018,0.6124763705103969,-2.3589298493505026,0.49867765037567147,-0.6169262278363192,1.4679506416153032
SEQ_019,0.3915343915343915,-2.3137201731392336,0.5270289038708984,-1.317518170900618,3.9171274097279474
SEQ_020,0.4855072463768116,-2.2671853635360923,0.3991442364519846,-1.0075086927300743,2.2571527001765483
SEQ_021,0.4117647058823529,-2.341485901682917,0.6580780144902786,0.13311262735369037,-0.7976233011754386
SEQ_022,0.2988505747126437,-2.3838690341840603,0.581072760916804,-1.2531402652941093,3.551363832799394
SEQ_023,0.3769911504424779,-2.4414825051159736,0.38554257403406517,-1.0151803088495723,2.6422770051688387
SEQ_024,0.4652014652014652,-2.363270981210692,0.8444124385978333,-0.7371723165466392,-0.37318940479491136
SEQ_025,0.409009009009009,-2.410101202109384,0.3367796364037886,-1.1547005677774356,1.6711933799414176
SEQ_026,0.2935444579780755,-3.0608336211295795,0.7248452499538002,0.03643032889631691,-0.2066472446315175
SEQ_027,0.3803418803418803,-2.3326271362473805,0.4337056715088016,-1.5891145525364045,4.447213233684971
