Sequence§nmf_0§nmf_1
SEQ_001§0.13237397799792336§0.0
SEQ_002§0.12460568239706539§0.0
SEQ_003§0.001964523482404665§0.23764908997678083
SEQ_004§0.0§0.19465931643886356
SEQ_005§0.12910747301533626§0.13542877381759397
SEQ_006§0.07854473687803847§0.0
SEQ_007§0.11005218645422124§0.0
SEQ_008§0.1445550353585104§0.0
SEQ_009§0.1114738010014711§0.0
SEQ_010§0.07749180112897167§0.13863360984775985
SEQ_011§0.21042832930376945§0.0
SEQ_012§0.12296029945503144§0.0
SEQ_013§0.22677212455347961§0.0
SEQ_014§0.10495858836559142§0.06400505831673257
SEQ_015§0.12117811614943909§0.02234893663885503
SEQ_016§0.15361423725416729§0.0
SEQ_017§0.18367438044166232§0.0
SEQ_018§0.1245216669974995§0.05482293913702184
SEQ_019§0.1011609333262007§0.0
SEQ_020§0.18921762021899463§0.08244957401748511
SEQ_021§0.05182044069986153§0.009983746165772496
SEQ_022§0.19141766891153061§0.03557317964942171
SEQ_023§0.056957857073986706§0.1489347318261978
SEQ_024§0.13073528992018996§0.0
SEQ_025§0.167471964198104§0.07705594008957778
SEQ_026§0.23074568165173748§0.0
SEQ_027§0.03813721988731712§0.1773107161784013
SEQ_028§0.061389964076688015§0.050840423824801716
SEQ_029§0.15134675928162505§0.03862314436222282
SEQ_030§0.10984851843931238§0.004667383989567612
SEQ_031§0.14461048727253203§0.04494223716089225
SEQ_032§0.17742816226697003§0.023056611910886593
SEQ_033§0.1358128176530172§0.0
SEQ_034§0.11898515064714058§0.07072198954763753
SEQ_035§0.17306468403677844§0.023936027656482676
SEQ_036§0.10434441456652123§0.049259112966673166
SEQ_037§0.08585856382513812§0.1289178636950638
SEQ_038§0.1382771453721852§0.013871586723474586
SEQ_039§0.13966698045571915§0.043978275797896656
SEQ_040§0.06001246346630628§0.13968302855209783
SEQ_041§0.17715531266725618§0.045713351492178755
SEQ_042§0.19413240246375255§0.0
SEQ_043§0.15552234907557166§0.03349915430840019
SEQ_044§0.1573778371883403§0.0
SEQ_045§0.0955989917970661§0.10199501020997301
SEQ_046§0.0869320391821529§0.0
SEQ_047§0.11102291473667669§0.019297845353912903
SEQ_048§0.12716589078680232§0.0
SEQ_049§0.10056724004977756§0.03401152685958768
SEQ_050§0.09626366190147595§0.010002492091757548
SEQ_051§0.11435157865055881§0.013222644273260361
SEQ_052§0.07912967075292046§0.07006333095845707
SEQ_053§0.0769805467254023§0.0430437336506105
SEQ_054§0.10576793574797576§0.1126286756060763
SEQ_055§0.15919212237274843§0.024111701878665175
SEQ_056§0.050244986934100455§0.005785066495319747
SEQ_057§0.09136843494376688§0.0
SEQ_058§0.10985221750428341§0.0
SEQ_059§0.09448837141012728§0.10703277040485475
SEQ_060§0.15268182323175178§0.0
SEQ_061§0.065889114239993§0.10343174828793412
SEQ_062§0.14728169993310475§0.036629910103485035
SEQ_063§0.21055917522060985§0.018877074636336432
SEQ_064§0.08773391391863963§0.06286515902128141
SEQ_065§0.004261029549256611§0.13357992324893178
SEQ_066§0.0§0.20460108392730422
SEQ_067§0.16905666228230956§0.01955407352800828
SEQ_068§0.028750473560961994§0.2760286488445495
SEQ_069§0.0§0.298335724153346
SEQ_070§0.10530991489335906§0.043797950244874366
SEQ_071§0.13758545978920925§0.027232618734233455
SEQ_072§0.06562140256794204§0.113416986900402
SEQ_073§0.12444025751800458§0.06850541977539483
SEQ_074§0.12621144662824063§0.0
SEQ_075§0.04932686656145786§0.07410607118798801
SEQ_076§0.11585512276596067§0.09175621827196227
SEQ_077§0.01527769594686356§0.26018711481155565
SEQ_078§0.03610215143101824§0.26211191720076005
SEQ_079§0.08441499848870687§0.13755101492918237
SEQ_080§0.038073694331147795§0.022890199717630566
SEQ_081§0.1475260819591376§0.0
SEQ_082§0.13499160062912932§0.020385711044033288
SEQ_083§0.14564505918868387§0.029907907331504332
SEQ_084§0.13402488254566275§0.024903506194947765
SEQ_085§0.0408787163421902§0.17710507948201654
SEQ_086§0.0§0.24828860653791185
SEQ_087§0.035002119869531716§0.13580802714483578
SEQ_088§0.06337893394775442§0.049968844196282544
SEQ_089§0.0§0.1701666637651427
SEQ_090§0.1274616761565266§0.045678146172498574
SEQ_091§0.10920103763507591§0.0
SEQ_092§0.15555884696542047§0.0
SEQ_093§0.13980281218561444§0.017697078645096412
SEQ_094§0.08745219047978237§0.0
SEQ_095§0.008503274905558973§0.19662351060286837
SEQ_096§0.08733724042568153§0.08279371325750796
SEQ_097§0.15116664728241294§0.030999300342335924
SEQ_098§0.04406466001374059§0.12524456910838994
SEQ_099§0.07508719301475941§0.0750284233328607
SEQ_100§0.1843270058726997§0.039639032410809585
SEQ_101§0.12339847065026503§0.024237336247988225
SEQ_102§0.08401229255377368§0.1245458693152826
SEQ_103§0.09035466585210632§0.06470214375918226
SEQ_104§0.07234608518400343§0.036376925919341926
SEQ_105§0.17203944655632258§0.0
SEQ_106§0.07909432990075874§0.052184725221550696
SEQ_107§0.15583747862602176§0.046355726896815844
SEQ_108§0.13665756060526485§0.01230271100243217
SEQ_109§0.11092656698167565§0.07142296380432753
SEQ_110§0.12169116140778709§0.023776409392297856
SEQ_111§0.10390024781903263§0.06188677484434966
SEQ_112§0.1571902670715541§0.0
SEQ_113§0.07359417397288667§0.05826899701842958
SEQ_114§0.0§0.17668144813536615
SEQ_115§0.04392784132676915§0.0890385177040335
SEQ_116§0.11182104127860569§0.13752597102790792
SEQ_117§0.04101449376328445§0.0723636653578528
SEQ_118§0.10839319872090672§0.07865505264975284
SEQ_119§0.03446520038642632§0.05605231236053273
SEQ_120§0.0393247057526944§0.20319130815405034
SEQ_121§0.15331154243702§0.0
SEQ_122§0.16815087154978092§0.01609818066425633
SEQ_123§0.1770303122045842§0.09194281737592301
SEQ_124§0.09629789736449366§0.027217372374745478
SEQ_125§0.1637898165563091§0.0
SEQ_126§0.13040336720624948§0.0
SEQ_127§0.07618787813654576§0.03747484507888329
SEQ_128§0.0§0.12431689356768605
SEQ_129§0.11037743574237037§0.032493587145224614
SEQ_130§0.06333123557327248§0.03996502384850579
SEQ_131§0.07580893987394888§0.048011267499259026
SEQ_132§0.0§0.18257927167930318
SEQ_133§0.0§0.11153376259311715
SEQ_134§0.19626568822023388§0.0
SEQ_135§0.12027704561082621§0.0
SEQ_136§0.09845624054674149§0.0
SEQ_137§0.05268777812620905§0.32672049519136204
SEQ_138§0.1510551465099426§0.1292636200103082
SEQ_139§0.036618498147248324§0.038263595514534204
SEQ_140§0.08062288952833226§0.08717454311804292
SEQ_141§0.15653969979881538§0.0
SEQ_142§0.11774652627068083§0.028543236853700943
SEQ_143§0.12115849677431986§0.0887292000362757
SEQ_144§0.11279183041015747§0.022278119256601243
SEQ_145§0.18516924560652326§0.029246652967392237
SEQ_146§0.1323122338996883§0.021073881407986918
SEQ_147§0.02774874331547364§0.14848394158894945
SEQ_148§0.07980126826738321§0.049315214494062364
SEQ_149§0.08813106779037512§0.04719488200039326
SEQ_150§0.15468482486306961§0.021532750376931697
SEQ_151§0.04361672615373859§0.21320160749315575
SEQ_152§0.0§0.08020495507856468
SEQ_153§0.018587925855716718§0.17044504829206394
SEQ_154§0.0§0.11957790766832027
SEQ_155§0.1256959878384258§0.05826350905534163
SEQ_156§0.09020070726782642§0.052029175564141134
SEQ_157§0.21148851181824457§0.0
SEQ_158§0.05310777605044495§0.08960157244903003
SEQ_159§0.19504840832251885§0.010186924594590205
SEQ_160§0.0§0.15366227982700323
SEQ_161§0.18000661318273808§0.0
SEQ_162§0.04467519280982786§0.03996495722294073
SEQ_163§0.06369883290941689§0.1570559354296475
SEQ_164§0.2095866477781171§0.125992134964582
SEQ_165§0.054825428550260645§0.10858448395253457
SEQ_166§0.1324279733874861§0.11101013423658257
SEQ_167§0.07816931157578283§0.11541643601560934
SEQ_168§0.12794394890345148§0.03223961583307948
SEQ_169§0.10470391208055789§0.0
SEQ_170§0.11100273174135748§0.031810642804016895
SEQ_171§0.023492074228761716§0.10115391406764115
SEQ_172§0.0005614234738516197§0.1796503887888046
SEQ_173§0.11766208415575383§0.0
SEQ_174§0.01014458743636488§0.23759721903202818
SEQ_175§0.08550415015606488§0.05270833365147488
SEQ_176§0.08883105111027595§0.035388538369013386
SEQ_177§0.11389851385645655§0.06848443708366583
SEQ_178§0.10874422401040634§0.0
SEQ_179§0.027898466517049095§0.21037110116460697
SEQ_180§0.13601316321284357§0.0
SEQ_181§0.11536010496122918§0.0006315492424946289
SEQ_182§0.05133714479586348§0.10365726102551971
SEQ_183§0.12699309709997078§0.028836146268935377
SEQ_184§0.030213327001673316§0.21995164371212342
SEQ_185§0.060785741772783286§0.14780874446997339
SEQ_186§0.15443072658463597§0.03123337606245383
SEQ_187§0.10547439582824938§0.08558229668519697
SEQ_188§0.07345281550026317§0.18191192863270245
SEQ_189§0.10591555334847934§0.0347850322417009
