Sequence§nmf_0§nmf_1§nmf_2§nmf_3§nmf_4
SEQ_001§0.0§0.0§0.268796637893303§0.0§0.0
SEQ_002§0.07548782620040985§0.014439742599704573§0.1523506396489114§0.0§0.0
SEQ_003§0.0§0.34223708241413614§0.0007362831482732959§0.04097962505982985§0.0
SEQ_004§0.01327628190222206§0.17385361976878969§0.0010196972642996815§0.041279774459905834§0.0006153696308548579
SEQ_005§0.0§0.005524636492149305§0.08341787481337344§0.3033611334370281§0.0
SEQ_006§0.0261678049291498§0.003552606548678937§0.11462519573657944§0.01429128441974158§0.0
SEQ_007§0.05347269683557371§0.0§0.06689489476834141§0.0931351044824325§0.0
SEQ_008§0.021673101401145176§0.010949222494944674§0.22001900585984244§0.0§0.021278526622842353
SEQ_009§0.0§0.0§0.24532235578871128§0.0§0.0
SEQ_010§0.0§0.09869156071627745§0.11674591130730812§0.0§0.108880886922284
SEQ_011§0.26204887423934053§0.0§0.0§0.02095497609215668§0.12447615671323463
SEQ_012§0.0§0.0§0.30339841737156875§0.0§0.0
SEQ_013§0.032078253624458§0.0§0.19482723465824775§0.13233441222125378§0.07802512495333912
SEQ_014§0.0§0.0§0.061419504964564595§0.21483486228477636§0.0
SEQ_015§0.06354678018075656§0.013600768887769059§0.10829697772888462§0.0§0.06462641487999364
SEQ_016§0.06771597742663185§0.0§0.10843010668497872§0.07246017183080287§0.033163794215386656
SEQ_017§0.04753260890144319§0.025630415201501475§0.1879033131648048§0.01152428185098819§0.08630060678034707
SEQ_018§0.1494655003447793§0.07760891053285618§0.05012634399434106§0.0§0.03842609939279009
SEQ_019§0.0§0.0§0.23774147271678683§0.0§0.0
SEQ_020§0.05609922292221531§0.0§0.03709169596865712§0.31070374874256296§0.03629796625402194
SEQ_021§0.0§0.03769265184982201§0.12115920568690813§0.0§0.004873153899646423
SEQ_022§0.0§0.005739112041157923§0.2466803183839628§0.040155909450006924§0.11599695185758614
SEQ_023§0.0§0.06706406597849829§0.05341033754130163§0.1109957134006412§0.04077962057652134
SEQ_024§0.19724238545185857§0.0§0.0§0.0§0.051182944970470115
SEQ_025§0.0§0.0§0.0499651510332843§0.34442636966400686§0.020366888556891623
SEQ_026§0.0719217659525853§0.0§0.24418855108797344§0.048864197123850525§0.05652238745204571
SEQ_027§0.006998632971527299§0.0780926419708706§0.0§0.009974597513338412§0.17629287767500446
SEQ_028§0.04223882167442237§0.025143541357185138§0.008014316256276235§0.10527152231763888§0.0
SEQ_029§0.015245726005429314§0.05997405543142872§0.22394739019754387§0.007328105909690519§0.04457809005927864
SEQ_030§0.0§0.01200419871450667§0.13023463533558113§0.0§0.08600848600211923
SEQ_031§0.11172501161611302§0.0§0.0§0.08548785548821128§0.12247247643581065
SEQ_032§0.04901324734138035§0.0§0.044923015660488785§0.07278846181736365§0.19979708151074543
SEQ_033§0.021088654639195886§0.0§0.13041258468039169§0.0§0.1267006567515475
SEQ_034§0.0§0.04430093201146105§0.17290444514149186§0.11217575146362906§0.0
SEQ_035§0.039941763676925056§0.0§0.009368573685563968§0.3145253311579315§0.00551324813437448
SEQ_036§0.06638161819167683§0.003678684592148905§0.033710492503925986§0.10093845928018792§0.03343840334733609
SEQ_037§0.1227297822140581§0.020887926330725066§0.0§0.15253376137005759§0.0
SEQ_038§0.039452125503218693§0.0§0.146317906216887§0.0§0.09764466587932469
SEQ_039§0.0§0.0§0.05982203373083293§0.0§0.27008685466358845
SEQ_040§0.07870035416726974§0.0§0.0§0.1938294892629677§0.0
SEQ_041§0.0§0.0§0.262271391762575§0.008882820947700897§0.1319020824291588
SEQ_042§0.021261351016768647§0.0§0.025148638922648354§0.19047772378764752§0.14572004937457964
SEQ_043§0.18022097707372312§0.0§0.0§0.046835569827670676§0.0851539072979309
