Sequence§LDA_0§LDA_1§LDA_2§LDA_3§LDA_4
SEQ_001§0.026236647632320177§0.02617780621653856§0.8939205374960396§0.02621499662345042§0.027450012031651042
SEQ_002§0.03254980629320767§0.19288246625379227§0.03335489902686312§0.031816370885369184§0.7093964575407676
SEQ_003§0.03631133072686317§0.03591372757449725§0.036211020678200215§0.035973714816789126§0.8555902062036502
SEQ_004§0.032578444588452174§0.032549195383532147§0.03306209262411957§0.5673874842193097§0.3344227831845864
SEQ_005§0.019458753319899467§0.019266900658762458§0.922250838876876§0.019235158738014024§0.01978834840644796
SEQ_006§0.03857949191314026§0.2347029783768113§0.03852632151375078§0.037508412156729024§0.6506827960395687
SEQ_007§0.0351281239772991§0.035147496037082046§0.03565091271460518§0.035079352275788886§0.8589941149952248
SEQ_008§0.025475755203913684§0.025409197493269222§0.8975644807885453§0.025461569044197226§0.02608899747007449
SEQ_009§0.04041206791998636§0.5336239116262759§0.04149110877715998§0.04027232457147408§0.34420058710510376
SEQ_010§0.0261338638162329§0.026289858465044533§0.026476532092264058§0.02606940534407111§0.8950303402823875
SEQ_011§0.02515641507338709§0.0251239447479684§0.0254793851179443§0.025062609955930078§0.8991776451047702
SEQ_012§0.03160495032654029§0.03165188561268858§0.03255062308197715§0.13306114692173748§0.7711313940570566
SEQ_013§0.022699332688470915§0.021860391239465374§0.022208246232683124§0.021955494111135735§0.9112765357282449
SEQ_014§0.03130666309453718§0.03122157280199968§0.03211700363088841§0.4355527423971095§0.46980201807546523
SEQ_015§0.03232775417835729§0.03222503837621297§0.032639584424859286§0.03222287927297245§0.870584743747598
SEQ_016§0.025472271220576853§0.024828326287831298§0.027294842756059125§0.024901530719063744§0.897503029016469
SEQ_017§0.021191513755766122§0.021049283922330762§0.02150494343422731§0.020987318398399415§0.9152669404892765
SEQ_018§0.024654609367532672§0.024764906607256353§0.02499110985739453§0.024587395300778348§0.901001978867038
SEQ_019§0.030235122310895996§0.029980337322236057§0.03022260989948509§0.02995676397871494§0.8796051664886678
SEQ_020§0.020628884536356293§0.020485398190588512§0.49422070320959044§0.020529388070872043§0.4441356259925928
SEQ_021§0.04208363170423097§0.04179557692058515§0.04303989763712644§0.8286691958830867§0.044411697854970546
SEQ_022§0.026056630606428384§0.02686209126608543§0.026528756924051263§0.028158669369304445§0.8923938518341304
SEQ_023§0.025963740363624244§0.02555667549317573§0.8960838465733331§0.025434952365455298§0.02696078520441163
SEQ_024§0.03056677783222255§0.030585760968344325§0.030743535730485043§0.030414866081706734§0.8776890593872414
SEQ_025§0.02045439885669158§0.020236304959545735§0.9182733969743011§0.020144144145140812§0.020891755064320727
SEQ_026§0.022577136639706657§0.022503691483760618§0.022764261020871916§0.02238071242403292§0.9097741984316279
SEQ_027§0.02776614716730286§0.0277289790382827§0.028104924454448413§0.4223547840826135§0.49404516525735254
SEQ_028§0.03265737565303513§0.03269119243724146§0.8677990059364328§0.032609699819608026§0.034242726153682644
SEQ_029§0.020639343763961294§0.020712926199064494§0.45070761398488457§0.02071264679545362§0.48722746925663607
SEQ_030§0.033017944403584014§0.03299455641670823§0.03343131300169681§0.033048071906575216§0.8675081142714358
SEQ_031§0.02802450668976049§0.02791738642904214§0.028445409399787774§0.1514079957962605§0.7642047016851491
SEQ_032§0.029182635492809087§0.19939828795233536§0.029768031423552933§0.02943947690570515§0.7122115682255974
SEQ_033§0.1553968336799893§0.026609221972407598§0.026609911680559144§0.026387861260435373§0.7649961714066086
SEQ_034§0.03330978635686323§0.03303456327082144§0.8665136806525674§0.03298783924488764§0.0341541304748602
SEQ_035§0.026561898684784556§0.03174386813072717§0.8871381939715731§0.026279786016530127§0.02827625319638502
SEQ_036§0.030438891767344156§0.030599446645587468§0.877492942715954§0.03020366153131804§0.03126505733979627
SEQ_037§0.3344349899122986§0.0325487184765355§0.5667082991968342§0.03253160434087352§0.03377638807345831
SEQ_038§0.025814032732803045§0.025990509829379532§0.2786676521788853§0.026258652937100304§0.6432691523218318
SEQ_039§0.029035191587692084§0.028871535842796305§0.8834022335542094§0.02889526961147164§0.02979576940383053
SEQ_040§0.3540463590222139§0.030135029130811192§0.030870834953734414§0.03012396797612477§0.5548238089171157
SEQ_041§0.02482412037279675§0.024496741204323744§0.9010336532711404§0.024503447181890133§0.02514203796984907
SEQ_042§0.037662536910439984§0.037669837851028905§0.038217091953506616§0.03754135662331087§0.8489091766617136
SEQ_043§0.0227421723385358§0.02263664927336237§0.646207094376613§0.022494512279743157§0.28591957173174587
SEQ_044§0.027384941175569277§0.27488939827615144§0.02813778098283244§0.027367260953817116§0.6422206186116297
SEQ_045§0.024292773114951274§0.024283040841934646§0.9019746064068286§0.02442523996013887§0.025024339676146642
SEQ_046§0.039768057675473714§0.039831479666119246§0.03999597823540704§0.03983306430149804§0.840571420121502
SEQ_047§0.026716343356670037§0.02645415100157806§0.565363043257591§0.026719901884531935§0.35474656049962894
SEQ_048§0.034069912208472844§0.034230210227334135§0.5030938440990498§0.3932594133736716§0.035346620091471666
SEQ_049§0.6668391848826585§0.0288948555730718§0.029395024646419923§0.028831226558990185§0.2460397083388597
SEQ_050§0.02994617400902466§0.029589558997491307§0.030103407714922453§0.029734301876606223§0.8806265574019554
SEQ_051§0.024269612429756636§0.22056707775531345§0.7059648061174814§0.02428355780884361§0.0249149458886048
SEQ_052§0.8726920436739161§0.0311014124942441§0.032065368660643696§0.03123764296253181§0.03290353220866427
SEQ_053§0.5692345868801705§0.02759227883892667§0.028312188436798405§0.02761812467264191§0.3472428211714624
SEQ_054§0.5389904658136774§0.029760306230483445§0.03048677832188094§0.030694530842319708§0.3700679187916386
SEQ_055§0.36484690689817195§0.03142909729514112§0.03204876755398803§0.03170945898733962§0.5399657692653592
SEQ_056§0.039738468026166276§0.8379204552675537§0.04113548376788232§0.03939278751149973§0.041812805426898136
SEQ_057§0.035414707625232335§0.03521552620943519§0.035796287593172126§0.03538352659010721§0.8581899519820532
SEQ_058§0.026748815741922734§0.3998778211436904§0.027566730982145366§0.02660271130983859§0.5192039208224029
SEQ_059§0.027874654200740367§0.028154151948123637§0.8873152639403693§0.027845913621994234§0.028810016288772455
SEQ_060§0.028378887103531845§0.2810428722123671§0.02939445368351815§0.02832980459277231§0.6328539824078105
SEQ_061§0.026937307240587845§0.026905946404724948§0.027204252332159787§0.026876977041201452§0.8920755169813259
SEQ_062§0.02356464162820233§0.02344812861036194§0.023847001496932918§0.023457717629691253§0.9056825106348114
SEQ_063§0.02877540127954658§0.028775326814993916§0.5661360449259326§0.028832729295973032§0.3474804976835539
SEQ_064§0.6646376010041886§0.02915407417722744§0.029900242589989478§0.02915676083263094§0.24715132139596352
SEQ_065§0.031630960092434955§0.031807169012814884§0.031837779953363836§0.031599901590510994§0.8731241893508753
SEQ_066§0.037472006782792645§0.49974922702880925§0.037059790546314184§0.03701367940502234§0.38870529623706157
SEQ_067§0.026197724059592187§0.02593942304923206§0.8951290984689183§0.02592712983999276§0.026806624582264668
SEQ_068§0.02826909794465847§0.028303870210306392§0.2652017521062412§0.028128230038805754§0.6500970496999882
