Sequence§LDA_0§LDA_1
SEQ_001§0.7271067288776651§0.27289327112233486
SEQ_002§0.7959957456716246§0.2040042543283754
SEQ_003§0.8936701880943861§0.1063298119056138
SEQ_004§0.898522361780335§0.10147763821966509
SEQ_005§0.9308260338001398§0.0691739661998602
SEQ_006§0.3281095065968159§0.6718904934031841
SEQ_007§0.6101674064116005§0.3898325935883995
SEQ_008§0.9219148061664214§0.07808519383357856
SEQ_009§0.38171158465129346§0.6182884153487066
SEQ_010§0.9207592741386719§0.0792407258613282
SEQ_011§0.9231558646302329§0.07684413536976707
SEQ_012§0.27627219488133314§0.7237278051186669
SEQ_013§0.9317996825138805§0.06820031748611946
SEQ_014§0.9059202440388499§0.09407975596115008
SEQ_015§0.898955193716019§0.1010448062839811
SEQ_016§0.9234023232901946§0.07659767670980537
SEQ_017§0.9356686325591691§0.06433136744083093
SEQ_018§0.9248021550245777§0.07519784497542222
SEQ_019§0.6437562940839138§0.3562437059160863
SEQ_020§0.9376092007472034§0.0623907992527967
SEQ_021§0.1769656249526928§0.8230343750473071
SEQ_022§0.9227254728454126§0.07727452715458738
SEQ_023§0.9215983425395986§0.07840165746040138
SEQ_024§0.9114332566482146§0.08856674335178538
SEQ_025§0.9328775865041005§0.06712241349589952
SEQ_026§0.9274491451058328§0.07255085489416724
SEQ_027§0.7670969627766994§0.2329030372233006
SEQ_028§0.8403172381978081§0.1596827618021918
SEQ_029§0.934435039797722§0.06556496020227799
SEQ_030§0.902478461257984§0.097521538742016
SEQ_031§0.917040984752237§0.08295901524776289
SEQ_032§0.8198020766720326§0.18019792332796733
SEQ_033§0.8472795703069442§0.15272042969305574
SEQ_034§0.9046373557395581§0.09536264426044194
SEQ_035§0.9094857478021586§0.09051425219784139
SEQ_036§0.9011263807005901§0.09887361929940981
SEQ_037§0.9054657475385709§0.09453425246142907
SEQ_038§0.7725398376278363§0.22746016237216368
SEQ_039§0.9155826863263086§0.08441731367369135
SEQ_040§0.9102676376171382§0.08973236238286181
SEQ_041§0.9245430923734095§0.07545690762659064
SEQ_042§0.8821024145736419§0.1178975854263581
SEQ_043§0.9211153261867127§0.07888467381328741
SEQ_044§0.8494422807265745§0.15055771927342565
SEQ_045§0.9271839246554054§0.07281607534459471
SEQ_046§0.6423648581006492§0.3576351418993507
SEQ_047§0.8145004185479061§0.18549958145209386
SEQ_048§0.7795913330671057§0.2204086669328944
SEQ_049§0.9131195555683103§0.08688044443168971
SEQ_050§0.7594675022148921§0.24053249778510785
SEQ_051§0.5970685631033651§0.40293143689663496
SEQ_052§0.9053499169518467§0.09465008304815321
SEQ_053§0.9136114945132141§0.08638850548678591
SEQ_054§0.9122095322683716§0.08779046773162835
SEQ_055§0.9031831722225061§0.096816827777494
SEQ_056§0.23952067376083955§0.7604793262391605
SEQ_057§0.6511593676518266§0.3488406323481734
SEQ_058§0.579085102673601§0.420914897326399
SEQ_059§0.9079336726824094§0.09206632731759054
SEQ_060§0.9134817681075152§0.08651823189248468
SEQ_061§0.9125116911009122§0.08748830889908782
SEQ_062§0.9272426141899349§0.07275738581006506
SEQ_063§0.8999523113815949§0.10004768861840496
SEQ_064§0.9099400780786351§0.09005992192136489
SEQ_065§0.35438310851645155§0.6456168914835484
SEQ_066§0.8797257038817765§0.12027429611822345
SEQ_067§0.9214050810704012§0.07859491892959881
SEQ_068§0.9167142996567376§0.08328570034326234
SEQ_069§0.9070451312921107§0.09295486870788933
SEQ_070§0.9186937174374917§0.0813062825625082
SEQ_071§0.7267839225604537§0.2732160774395464
SEQ_072§0.9026185384304939§0.09738146156950611
SEQ_073§0.7260023662110274§0.2739976337889726
SEQ_074§0.8914295950998704§0.10857040490012967
SEQ_075§0.5241871929695595§0.4758128070304405
SEQ_076§0.9090429316008869§0.09095706839911315
SEQ_077§0.910592492715784§0.08940750728421594
SEQ_078§0.9202956463181571§0.07970435368184285
SEQ_079§0.9210749419671096§0.07892505803289045
SEQ_080§0.231985897366889§0.768014102633111
SEQ_081§0.930557896787555§0.06944210321244507
SEQ_082§0.8772386963290074§0.12276130367099262
SEQ_083§0.7269896163865498§0.2730103836134502
SEQ_084§0.6622231797312605§0.33777682026873945
SEQ_085§0.630866109805367§0.36913389019463305
SEQ_086§0.9100370603553554§0.08996293964464457
SEQ_087§0.8786199345453681§0.12138006545463179
SEQ_088§0.8937118337802096§0.10628816621979041
SEQ_089§0.450061973299158§0.5499380267008419
SEQ_090§0.9254274501642515§0.07457254983574839
SEQ_091§0.9104848646449603§0.08951513535503974
SEQ_092§0.9102372250439013§0.08976277495609872
SEQ_093§0.9168772570753361§0.083122742924664
SEQ_094§0.8778612496155084§0.12213875038449157
SEQ_095§0.9055938716698126§0.09440612833018734
SEQ_096§0.9255095469346861§0.0744904530653139
SEQ_097§0.9242670755836683§0.07573292441633166
SEQ_098§0.8894667269794041§0.11053327302059582
SEQ_099§0.9173971702055016§0.08260282979449839
SEQ_100§0.9223362503434035§0.07766374965659656
