,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,angry,disgust,fear,joy,positivity,sadness,surprise,nmf_0,nmf_1,nmf_2,nmf_3,nmf_4,nb_locutors,ratio_HF,ratio_speak,mean_nrj,std_nrj,mean_f0,std_f0
SEQ_001,-0.32410785384472346,-0.04351242065078776,0.05400147912801678,-0.14761435489146807,0.029979299177629586,-0.02012073454177959,0.04250656220497469,0.010548630312367724,-0.03372581603422274,0.0005630902628784686,-0.02295358419824683,-0.04654512992938955,-0.005151556155439346,-0.01950017121232839,-0.06913648535376722,0.06613162149267875,-0.04351119823532631,-0.011533615571135076,-0.024531127964883034,-0.045359512647904755,-0.04961008942360331,0.01148926942470532,-0.008714204173647327,-0.018764763357960786,-0.013559234059555218,0.040331888940759925,0.031122883617462977,-0.03688022087407403,0.05731500542489289,-0.03715010000592136,-0.019540637627174555,-0.05433227544440074,0.06266303046581488,0.0235055545924036,-0.01872215489798085,0.015343282526662443,0.015561904305546952,0.02507952565879124,-0.05341884909844248,0.013628167975263462,-0.016381822261683405,0.02483148730024429,-0.01905324261117862,-0.010661338433932143,0.02687648051587689,-0.03461034339358855,-0.013312183273915267,-0.027554766570617135,0.057543248223444615,0.00797430592331988,0.16612211224873868,0.22149614966498493,0.2768701870812312,0.0,0.719862486411201,0.44299229932996986,0.0,0.0,0.0,0.36365041235153045,0.0,0.0,0.6752463258349477,0.22508210861164923,0.0852438624103693,-0.6670182485576934,0.20224824636803246,-0.0014976587843369407,0.017146069548086708
SEQ_002,-0.4492290320675448,-0.3353046874149752,-0.0031300767722077854,0.3034685650819554,-0.0013840584020586666,0.05364159427245115,0.04585915636751811,-0.04518944142995966,-0.02085296196581941,-0.03554673430768837,0.005620425628828986,0.04235870649385829,0.009868411219658908,-0.010737360480910339,0.052416262083488575,0.04707572501465317,-0.016914589844922286,0.04066215981900962,0.013780356637254996,-0.027955477008242042,-0.11139050639530136,0.02574046340595851,-0.02893095328823265,-0.041357041038624864,0.04782086914284366,-0.029304598375212276,0.01844469714203925,0.08239634537733709,0.0012315577045414474,0.010271371982977456,-0.08690424442340364,0.03165599098597169,-0.05581285516725997,-0.07890639253963626,0.11004554410930562,-0.006977080774379854,-0.062444247996845705,-0.11648183194893304,-0.05098752941149878,0.0019734390245044107,0.024503396054464985,-0.02646805651073942,-0.06387939675982329,-0.053502903907049364,0.020176699955260287,0.060894942815923794,0.032295737952087115,0.0024218661512448096,0.045916751123110416,-0.0311898925007844,0.15706280077894186,0.07853140038947094,0.07853140038947094,0.0,0.9423768046736513,0.0,0.15706280077894186,0.09311868587186391,0.0,0.20255525127911522,0.0,0.023546338622314898,0.36749793332577524,0.36749793332577524,0.09497137602800934,-0.8101317247700673,0.2528666745064616,-0.0019713015298496667,0.024741122717288008
SEQ_003,0.26457709542818103,-0.02145306644855287,-0.4069867411785168,0.01799098945797473,0.021926453351755172,0.03942390109656459,-0.001384907901440144,-0.0636821765560741,0.0683375538839414,0.043462056784893635,-0.06992327792497932,0.034868161471738775,-0.0010598457950870173,0.006066292093523137,0.03830982321285199,-0.05811072216081968,-0.0614713154450172,-0.07292299123093954,0.02565322757049615,0.026148346457080363,-0.018511680662131495,-0.00416941523856871,-0.0187268044538527,0.001093499779685917,0.048668654811828777,0.0005515060846481133,-0.013780948520522852,-0.006822506265561952,0.02353219642405133,0.021381528765841023,0.011534215979775289,-0.0071938046080507485,-0.02194951558230856,0.004603995574052891,0.018690756931812838,-0.02061585745662893,0.038509533339414155,-0.0002918162040038543,0.02487360430107354,-0.010449522342972428,0.008298307971038898,0.03632966614509278,0.030043297489336675,0.012049342442155686,-0.006328270167345883,0.047030946308605256,0.001058781506437177,-0.01111197917134839,0.025365664343105134,0.031092399487843397,0.0,0.140869817762781,0.0,0.281739635525562,0.8452189065766861,0.140869817762781,0.0,0.0,0.4071707807058746,0.012000134761583675,0.024639779448460367,0.0,0.745901285283357,0.0,0.20081957680705761,-0.6265847068125282,0.1018345919783368,-0.0009694292797710944,0.017976413875009666
SEQ_004,-0.3064737186755303,0.0026338231182993907,0.06306009144807756,-0.07442328085109443,-0.1342843206920113,0.11737390694388511,-0.00046651334288607,0.02452801238450703,-0.02006909730364021,0.0184721453501826,-0.04646855507787409,-0.0032795488749769626,0.06300128738941803,-0.08027511826760339,-0.04762375105669213,0.014438642461984973,-0.014239755355384473,0.05132152954505039,-0.025278773079762302,0.0501206635673246,0.0032141312903273345,0.09677366625773098,-0.027102330431245845,-0.12332979605012445,-0.0017125431835146013,-0.07787402902813248,-0.003794781472575341,0.01943615035750925,-0.017923240537271918,0.06581507523168358,0.06170519492571006,-0.12594544705617786,0.022133385634560587,0.012001386643013052,-0.03148004966471686,0.004624601090249857,0.03822810276564629,-0.022266324209181818,-0.04388318576098298,-0.07438313631543242,-0.03114102827699767,0.0072014557515780635,-0.030296935401120516,-0.12079102391612868,-0.03207427685009021,0.0002112758773489164,0.09882796369631489,-0.09349718047616769,-0.027893029246613042,-0.022743579061939353,0.15064330925811015,0.07532165462905507,0.3012866185162203,0.0,0.903859855548661,0.15064330925811015,0.0,0.008316097087917064,0.13128900489622183,0.0,0.0,0.15458851784227612,0.667673757594401,0.0,0.07642049032706998,-0.7179002287922173,0.18011242241754308,-0.0018737435790995808,0.023386490842144034
SEQ_005,-0.2896810598927214,0.21681236375963056,-0.0242183543332465,-0.017304423343418595,0.03372431777135461,-0.013963318064578295,-0.0825594933721023,0.052472073332096414,0.12522902406199862,-0.07389092923052226,-0.01847625388387836,0.0025763837693180917,-0.03833018323511825,0.1763285649412753,0.02634813850056467,0.05895431845932794,0.00572371966359354,0.07001147213049552,-0.01420630083001503,-0.04147102799786252,0.010335203686274587,-0.03307753013577553,-0.09907504353841075,0.03094753533695539,-0.03934022277331907,-0.04284651627411934,0.05057381405284162,-0.009089338574399353,-0.06301789416209191,0.03360097617406714,-0.014338179615263858,0.038401038685868985,-0.0030166614983004893,-0.055248281897479996,0.0067041467536096055,0.04612126642314137,0.008547713862352167,0.05087400802676823,0.011212404617613253,-0.05747875254377541,0.02325136549579135,-0.017568310380939037,-0.0260066090022543,0.015962021179802267,0.020744999374120797,0.0034046797304716483,0.06879536913049043,-0.005159407204203908,0.015101790018626897,0.05486861547482171,0.08203588566289706,0.08203588566289706,0.16407177132579412,0.1230538284943456,0.8613767994604192,0.20508971415724267,0.04101794283144853,0.0,0.0,0.16708302151137192,0.11410847114255113,0.3432589455122032,0.7555567894845716,0.16790150877434923,0.11047637089942476,-0.6147577228607429,0.10161337516205836,-0.002186185795738725,0.021928918141848424
SEQ_006,-0.42941446305734027,-0.258150932425492,0.008583154414464854,0.04602442677141049,0.043149676990280536,-0.09189806346827624,0.19569866332265343,0.07247962148109918,0.06879501698108026,-0.08235615218999423,0.03963996165806219,0.027430196852861684,-0.03377400156987383,0.015802796768028055,0.03407331817531825,0.045310192532849965,0.01207424481314864,-0.01179245882205922,-0.030584110884897413,0.01525092847076275,-0.018890747529249588,0.01754783240873779,0.036100059506681006,-0.02265967006199375,0.004329280829559346,-0.009237308915735785,-0.06143096700573626,-0.0097945238042761,0.04224151104974944,-0.0066571367827288515,-0.06853044412929604,0.02627684895442738,0.015167292727048188,-0.022761843544748125,-0.004814803800893924,-0.010623282895432639,-0.031020938097162595,-0.04783304378839249,0.0044838718377294565,-0.007243049860572981,0.0337895697458307,-0.032278657203332936,-0.05057243894104548,0.03936633149536078,0.003247559597794064,-0.008061798647800551,-0.016026647806351844,0.006985567765277203,0.010018983868326144,0.016576722569179827,0.1544513874592483,0.1544513874592483,0.1544513874592483,0.1544513874592483,0.9267083247554898,0.1544513874592483,0.0,0.029635305345098686,0.0,0.14458969144797518,0.0,0.012292078445965676,0.5837798091124414,0.2918899045562207,0.09251155444951258,-0.7091798851336616,0.2493888756196218,-0.0012344879965843307,0.017623440711460114
SEQ_007,0.49133602586478914,-0.02485640531809267,-0.2723616369398672,-0.025607403208230056,0.12198184503394528,0.11697400542558176,0.10026516837811299,-0.07585403592760379,0.1234665967149055,-0.03503016245282139,-0.026806508772606357,-0.12482445603823086,0.0786853274790208,-0.03286933277311753,-0.01960849234939233,0.07617250185316987,0.019727284335747806,-0.07604976036325198,-0.008544732529130612,-0.0075892181204413696,0.03722491693254601,0.009204411734856663,0.10849558779335322,0.028285540131980376,0.0021587685240557772,-0.06816805234774186,-0.017356409991595826,-0.006581818185188439,-0.06143895590947328,0.040517459590936555,-0.04048831043657012,0.007132243077200643,0.0188763498823183,0.029034571618298713,0.020331299933671887,-0.0020394683931858316,0.051597441428062565,0.006779489357624153,0.010339794530227915,0.017831787295253906,0.03050337772801887,0.01137666539245565,0.04432181146356312,0.03481589929733861,-0.020014883730537718,0.03051156272900334,0.01275951260778321,-0.019814420517135112,-0.01853622479607401,-0.03480212396548856,0.242185370040228,0.121092685020114,0.484370740080456,0.121092685020114,0.7265561101206841,0.242185370040228,0.242185370040228,0.08317214930026236,0.0,0.1376853025949696,0.03625131976527843,0.0708806089862817,0.889991242745005,0.10679894912940059,0.08704616543462117,-0.4129958148855657,0.135092520103731,-0.0007487681081075676,0.010790951326772345
SEQ_008,-0.3697853690283834,-0.021738064599431336,0.036962259042532954,-0.17987593736376353,-0.01631205062020415,-0.020202723946228855,0.015349283862568388,0.011080403787331335,-0.025012613160369696,0.027570281880166306,0.0004983388874151357,-0.011836999607707467,0.003835212239185648,-0.015816229097110786,-0.03918299551876177,0.027051805632723972,-0.038242763793919936,0.021294981430092008,-0.01469045079492774,-0.008149383198033744,-0.03318451674791526,0.012219653915985205,0.047146787825105674,0.012490663185567949,0.0025693892744468164,0.011850205278228734,-0.021617778823808418,-0.03195803966359393,0.044820111170463736,-0.0079218313281516,-0.017435123395940826,-0.02617553614480095,0.031190428729437676,0.0029655079699691224,-0.02954585521319651,0.016640051445291563,0.04168513671813919,-0.0037024209003373833,-0.03582514008276657,-0.0313436665382783,0.006289781329149885,-0.02666495620281485,-0.007439261564211879,-0.007894184842209526,0.012670250766498678,-0.0043753844880190995,0.016861323679237275,-0.010291244526432724,0.045699049071436716,0.006100766264270449,0.0,0.0,0.05272338121139327,0.0,0.949020861805079,0.1581701436341798,0.05272338121139327,0.025315861259592537,0.004924199697778113,0.2596605258743219,0.019315937909653726,0.01789594758951458,0.7619414939373449,0.16932033198607666,0.12760670650892428,-0.5938729175764987,0.14674042328726783,-0.0012281128051629835,0.016523048392632304
SEQ_009,-0.2486013829282958,-0.16572968587242037,0.09711853214031775,0.08825066053146138,0.033726396321536824,-0.07560984642626159,-0.0031100402044782747,-0.0511262512020551,0.025127497632421933,-0.09721296350319626,-0.011193596804482933,-0.02115810558155129,-0.10142535670655188,-0.08335728317728924,-0.12254932342225067,0.005437114385684371,-0.016585868967957676,-0.06500139491350473,0.02740162424987691,-0.03162096018761903,-0.04002056681726574,-0.041356732080601755,-0.034688347455188465,0.05174651638603578,0.045354724814039356,0.053549946779493277,-0.0096496537296,0.018889428404570516,-0.009214202994857812,-0.0057933188004600745,0.03100023931270276,0.012415721344523161,-0.012655980029289875,0.030673886624279934,-0.0008817143982031142,-0.004864812716282313,-0.00788549161364888,-0.017068676927380753,-0.03434703838033065,0.03662704611151522,-0.010684416634960248,0.015769574100072736,-0.020804037878501793,-0.02049848388860045,-0.001547547034576905,0.06220863598563008,-0.013798678001405499,0.05179216317854515,0.011041912714297353,-0.004650236717314436,0.0,0.0,0.0,0.3019955571629654,0.9059866714888961,0.1509977785814827,0.0,0.0,0.0,0.2553164808659218,0.0,0.0,0.49196033600465056,0.0,0.30469801455771905,-0.8006676592022105,0.15186730235261092,-0.0023182617869082736,0.031565730925428435
SEQ_010,-0.3205662956682006,-0.1795512653712457,0.0018988386386474048,-0.011923589468750167,-0.098750307194365,-0.10865601880928703,0.03646092222255587,-0.03965699188450745,-0.04043017539069499,-0.014181206115423438,-0.059281414985127824,0.03301331757756072,0.044465981491661824,-0.05923921081134885,0.04088159506828191,0.03802973955695238,0.06029705330382096,-0.07433994720607807,-0.01703254817817908,0.022832872747886073,-0.0645030426314187,-0.012507037556217793,0.02259327917532769,-0.05630426588938532,0.0011927800073390572,0.020597784983012988,0.0017165555825874644,0.021810832140116886,-0.0020309208259298057,-0.014580963387845638,0.0024351612470368627,0.06471436729492612,0.03360319540271533,0.07550303313037031,0.0033485616563822297,0.024121031162000657,-0.008656996462176405,-0.02371450255748248,0.02247259637160625,0.05600592642069294,0.03347716766774564,-0.0654715783281456,-0.002287531736075849,-0.06892011647054497,0.038211590827064656,0.006393812637206426,0.01439362866724069,-0.044356528613316744,0.007299305531541506,-0.027782667321329745,0.13913997463802863,0.13913997463802863,0.4174199239140859,0.0,0.6956998731901431,0.4637999154600954,0.18551996618403818,0.0052665564950490065,0.11354965646693684,0.16414492734991276,0.06594258089109585,0.0964425569660761,0.753509600033597,0.16744657778524377,0.10314984257817891,-0.6099209048836568,0.1457051642342214,-0.0014232379249011756,0.01759276886976378
