Sequence§nb_locutors§ratio_HF
SEQ_001§3§1.0
SEQ_002§1§1.0
SEQ_003§2§0.0
SEQ_004§2§0.0
SEQ_005§3§0.6666666666666666
SEQ_006§2§1.0
SEQ_007§5§0.6
SEQ_008§3§0.6666666666666666
SEQ_009§1§0.0
SEQ_010§3§0.6666666666666666
SEQ_011§4§0.5
SEQ_012§2§0.0
SEQ_013§2§0.0
SEQ_014§2§1.0
SEQ_015§2§1.0
SEQ_016§2§1.0
SEQ_017§3§0.0
SEQ_018§3§1.0
SEQ_019§3§0.3333333333333333
SEQ_020§2§0.5
SEQ_021§2§1.0
SEQ_022§2§0.5
SEQ_023§4§0.5
SEQ_024§3§0.3333333333333333
SEQ_025§3§0.6666666666666666
SEQ_026§5§1.0
SEQ_027§3§0.3333333333333333
SEQ_028§1§1.0
SEQ_029§2§0.5
SEQ_030§1§1.0
SEQ_031§3§0.0
SEQ_032§2§0.0
SEQ_033§1§0.0
SEQ_034§2§0.0
SEQ_035§1§1.0
SEQ_036§2§1.0
SEQ_037§4§0.0
SEQ_038§1§0.0
SEQ_039§2§0.5
SEQ_040§2§0.5
SEQ_041§1§0.0
SEQ_042§3§0.6666666666666666
SEQ_043§3§0.6666666666666666
SEQ_044§4§0.5
SEQ_045§2§1.0
SEQ_046§2§0.5
SEQ_047§1§0.0
SEQ_048§2§0.5
SEQ_049§5§0.2
SEQ_050§3§0.3333333333333333
SEQ_051§2§1.0
SEQ_052§2§0.0
SEQ_053§3§0.3333333333333333
SEQ_054§4§0.75
SEQ_055§1§1.0
SEQ_056§1§0.0
SEQ_057§1§0.0
SEQ_058§3§0.3333333333333333
SEQ_059§3§0.0
SEQ_060§2§0.5
SEQ_061§2§0.0
SEQ_062§5§0.4
SEQ_063§1§0.0
SEQ_064§5§0.8
SEQ_065§2§0.5
SEQ_066§2§0.5
SEQ_067§2§0.5
SEQ_068§2§1.0
SEQ_069§1§0.0
SEQ_070§2§0.5
SEQ_071§3§0.6666666666666666
SEQ_072§1§0.0
SEQ_073§5§0.6
SEQ_074§2§0.5
SEQ_075§2§0.5
SEQ_076§2§0.5
SEQ_077§3§0.0
SEQ_078§2§0.0
SEQ_079§1§1.0
SEQ_080§2§0.5
SEQ_081§5§0.8
SEQ_082§4§0.5
SEQ_083§3§0.3333333333333333
SEQ_084§2§0.5
SEQ_085§2§0.0
SEQ_086§2§1.0
SEQ_087§1§1.0
SEQ_088§1§1.0
SEQ_089§2§0.0
SEQ_090§2§0.5
SEQ_091§1§1.0
SEQ_092§2§0.5
SEQ_093§3§0.0
SEQ_094§3§0.3333333333333333
SEQ_095§2§0.0
SEQ_096§3§1.0
SEQ_097§1§0.0
SEQ_098§2§0.5
SEQ_099§4§0.0
SEQ_100§3§0.6666666666666666
SEQ_101§6§0.6666666666666666
SEQ_102§2§0.0
SEQ_103§1§1.0
SEQ_104§1§1.0
SEQ_105§2§0.0
SEQ_106§1§0.0
SEQ_107§1§1.0
SEQ_108§3§0.6666666666666666
SEQ_109§1§1.0
SEQ_110§2§0.0
SEQ_111§1§0.0
SEQ_112§3§0.3333333333333333
SEQ_113§2§0.0
SEQ_114§2§0.0
SEQ_115§2§1.0
SEQ_116§4§1.0
SEQ_117§2§0.5
SEQ_118§1§1.0
SEQ_119§3§1.0
SEQ_120§2§0.0
SEQ_121§4§1.0
SEQ_122§5§0.0
SEQ_123§5§0.0
SEQ_124§1§0.0
SEQ_125§2§0.5
SEQ_126§3§0.3333333333333333
SEQ_127§4§0.75
SEQ_128§1§1.0
SEQ_129§3§1.0
SEQ_130§4§0.5
SEQ_131§2§0.5
SEQ_132§1§1.0
SEQ_133§1§0.0
SEQ_134§3§1.0
SEQ_135§2§0.5
SEQ_136§2§0.0
SEQ_137§9§0.7777777777777778
SEQ_138§7§0.5714285714285714
SEQ_139§2§0.5
SEQ_140§2§1.0
SEQ_141§2§1.0
SEQ_142§5§0.0
SEQ_143§4§0.5
SEQ_144§2§0.0
SEQ_145§2§0.5
SEQ_146§5§0.8
SEQ_147§3§0.0
SEQ_148§2§0.0
SEQ_149§2§1.0
SEQ_150§4§0.75
SEQ_151§1§0.0
SEQ_152§2§0.0
SEQ_153§2§0.0
SEQ_154§1§0.0
SEQ_155§1§1.0
SEQ_156§4§0.5
SEQ_157§4§0.25
SEQ_158§1§1.0
SEQ_159§3§0.3333333333333333
SEQ_160§1§0.0
SEQ_161§2§0.0
SEQ_162§1§0.0
SEQ_163§2§0.5
SEQ_164§12§0.5
SEQ_165§1§1.0
SEQ_166§2§0.5
SEQ_167§3§0.0
SEQ_168§2§0.0
SEQ_169§4§0.25
SEQ_170§2§0.0
SEQ_171§1§0.0
SEQ_172§2§0.0
SEQ_173§1§1.0
SEQ_174§2§0.0
SEQ_175§4§0.0
SEQ_176§2§0.0
SEQ_177§2§1.0
SEQ_178§3§0.6666666666666666
SEQ_179§2§0.5
SEQ_180§4§1.0
SEQ_181§2§1.0
SEQ_182§2§0.0
SEQ_183§3§0.0
SEQ_184§3§0.3333333333333333
SEQ_185§1§1.0
SEQ_186§1§0.0
SEQ_187§2§1.0
SEQ_188§1§1.0
SEQ_189§1§0.0
SEQ_190§1§0.0
SEQ_191§2§0.0
SEQ_192§2§0.5
SEQ_193§3§0.6666666666666666
SEQ_194§4§0.75
SEQ_195§3§0.0
SEQ_196§1§1.0
SEQ_197§1§0.0
SEQ_198§1§1.0
SEQ_199§2§0.5
SEQ_200§2§0.0
SEQ_201§2§0.5
SEQ_202§3§0.0
SEQ_203§2§1.0
SEQ_204§2§1.0
SEQ_205§1§0.0
SEQ_206§3§0.3333333333333333
SEQ_207§3§0.6666666666666666
SEQ_208§4§0.25
SEQ_209§3§0.6666666666666666
SEQ_210§2§0.0
SEQ_211§5§0.0
SEQ_212§1§0.0
SEQ_213§2§0.0
SEQ_214§1§0.0
SEQ_215§1§0.0
SEQ_216§1§1.0
SEQ_217§4§0.25
SEQ_218§2§0.0
SEQ_219§8§1.0
SEQ_220§1§0.0
SEQ_221§2§0.5
SEQ_222§3§0.6666666666666666
SEQ_223§1§0.0
SEQ_224§3§0.6666666666666666
SEQ_225§2§0.5
SEQ_226§2§0.0
SEQ_227§2§0.5
SEQ_228§2§0.5
SEQ_229§1§1.0
SEQ_230§1§1.0
SEQ_231§3§0.6666666666666666
SEQ_232§2§1.0
SEQ_233§2§0.0
SEQ_234§2§0.5
SEQ_235§3§0.3333333333333333
SEQ_236§2§1.0
SEQ_237§1§1.0
SEQ_238§1§1.0
SEQ_239§2§0.0
SEQ_240§2§0.5
SEQ_241§3§1.0
SEQ_242§4§0.0
SEQ_243§3§0.0
SEQ_244§2§0.0
SEQ_245§1§1.0
SEQ_246§2§1.0
SEQ_247§2§0.5
SEQ_248§3§0.3333333333333333
SEQ_249§1§1.0
SEQ_250§2§1.0
SEQ_251§2§0.5
SEQ_252§1§1.0
SEQ_253§2§0.5
SEQ_254§4§0.5
SEQ_255§3§1.0
SEQ_256§2§0.0
SEQ_257§3§0.0
SEQ_258§2§0.0
SEQ_259§1§0.0
SEQ_260§2§1.0
SEQ_261§2§1.0
SEQ_262§2§0.5
SEQ_263§3§1.0
SEQ_264§1§0.0
SEQ_265§3§1.0
SEQ_266§5§0.2
SEQ_267§1§0.0
SEQ_268§2§1.0
SEQ_269§4§0.0
SEQ_270§2§0.5
SEQ_271§2§1.0
SEQ_272§2§0.5
SEQ_273§2§0.5
SEQ_274§1§0.0
SEQ_275§1§1.0
SEQ_276§2§0.0
SEQ_277§2§0.5
SEQ_278§4§0.25
SEQ_279§2§0.0
SEQ_280§1§1.0
SEQ_281§3§0.0
SEQ_282§1§0.0
SEQ_283§4§0.5
SEQ_284§3§0.3333333333333333
SEQ_285§1§1.0
SEQ_286§2§1.0
SEQ_287§2§0.0
SEQ_288§1§0.0
SEQ_289§2§0.5
SEQ_290§2§0.5
SEQ_291§2§0.5
SEQ_292§1§0.0
SEQ_293§5§0.8
SEQ_294§2§1.0
SEQ_295§1§0.0
SEQ_296§1§1.0
SEQ_297§3§0.3333333333333333
SEQ_298§1§1.0
SEQ_299§4§0.75
SEQ_300§2§0.5
SEQ_301§1§1.0
SEQ_302§1§0.0
SEQ_303§2§0.5
SEQ_304§3§0.0
SEQ_305§1§1.0
SEQ_306§3§0.0
SEQ_307§1§0.0
SEQ_308§1§1.0
