§nb_cuts§moy_seq
SEQ_001_VIDEO.mp4§12§4.64
SEQ_002_VIDEO.mp4§0§22.92
SEQ_003_VIDEO.mp4§1§8.44
SEQ_004_VIDEO.mp4§7§4.01
SEQ_005_VIDEO.mp4§17§4.417874396135266
SEQ_006_VIDEO.mp4§4§4.728
SEQ_007_VIDEO.mp4§2§13.666666666666668
SEQ_008_VIDEO.mp4§5§8.813333333333334
SEQ_009_VIDEO.mp4§0§20.08
SEQ_010_VIDEO.mp4§3§15.64
SEQ_011_VIDEO.mp4§15§5.165
SEQ_012_VIDEO.mp4§12§4.098461538461539
SEQ_013_VIDEO.mp4§1§38.4
SEQ_014_VIDEO.mp4§8§5.422222222222222
SEQ_015_VIDEO.mp4§5§6.406666666666666
SEQ_016_VIDEO.mp4§17§3.911111111111111
SEQ_017_VIDEO.mp4§13§6.968571428571429
SEQ_018_VIDEO.mp4§7§8.485
SEQ_019_VIDEO.mp4§4§9.728
SEQ_020_VIDEO.mp4§3§13.83695652173913
SEQ_021_VIDEO.mp4§3§8.2
SEQ_022_VIDEO.mp4§9§4.476
SEQ_023_VIDEO.mp4§3§18.14
SEQ_024_VIDEO.mp4§8§3.9022222222222225
SEQ_025_VIDEO.mp4§9§7.421739130434782
SEQ_026_VIDEO.mp4§5§17.546666666666667
SEQ_027_VIDEO.mp4§7§7.51
SEQ_028_VIDEO.mp4§2§5.579710144927537
SEQ_029_VIDEO.mp4§10§9.210909090909091
SEQ_030_VIDEO.mp4§4§5.12
SEQ_031_VIDEO.mp4§17§2.7377777777777776
SEQ_032_VIDEO.mp4§12§3.236923076923077
SEQ_033_VIDEO.mp4§5§6.213333333333334
SEQ_034_VIDEO.mp4§3§8.66
SEQ_035_VIDEO.mp4§6§6.130434782608695
SEQ_036_VIDEO.mp4§7§4.835
SEQ_037_VIDEO.mp4§7§6.375
SEQ_038_VIDEO.mp4§7§8.09
SEQ_039_VIDEO.mp4§5§6.126666666666666
SEQ_040_VIDEO.mp4§4§5.28695652173913
SEQ_041_VIDEO.mp4§13§3.94
SEQ_042_VIDEO.mp4§5§6.193333333333333
SEQ_043_VIDEO.mp4§6§10.314285714285713
SEQ_044_VIDEO.mp4§7§5.245
SEQ_045_VIDEO.mp4§7§3.65
SEQ_046_VIDEO.mp4§1§7.56
SEQ_047_VIDEO.mp4§9§4.016
SEQ_048_VIDEO.mp4§0§36.52
SEQ_049_VIDEO.mp4§3§12.15
SEQ_050_VIDEO.mp4§1§16.02
SEQ_051_VIDEO.mp4§13§3.5062111801242235
SEQ_052_VIDEO.mp4§2§10.36
SEQ_053_VIDEO.mp4§2§15.053333333333333
SEQ_054_VIDEO.mp4§7§10.31
SEQ_055_VIDEO.mp4§9§2.8960000000000004
SEQ_056_VIDEO.mp4§2§8.6
SEQ_057_VIDEO.mp4§4§6.096
SEQ_058_VIDEO.mp4§9§4.452
SEQ_059_VIDEO.mp4§0§64.68
SEQ_060_VIDEO.mp4§4§8.8
SEQ_061_VIDEO.mp4§2§24.133333333333336
SEQ_062_VIDEO.mp4§13§4.797142857142857
SEQ_063_VIDEO.mp4§7§10.485
SEQ_064_VIDEO.mp4§6§5.314285714285714
SEQ_065_VIDEO.mp4§11§2.55
SEQ_066_VIDEO.mp4§5§3.273333333333333
SEQ_067_VIDEO.mp4§10§6.581818181818181
SEQ_068_VIDEO.mp4§14§3.014492753623188
SEQ_069_VIDEO.mp4§10§4.5636363636363635
SEQ_070_VIDEO.mp4§8§3.391304347826087
SEQ_071_VIDEO.mp4§8§5.928888888888889
SEQ_072_VIDEO.mp4§17§2.6111111111111107
SEQ_073_VIDEO.mp4§3§15.36
SEQ_074_VIDEO.mp4§5§6.88
SEQ_075_VIDEO.mp4§1§10.34
SEQ_076_VIDEO.mp4§12§3.129230769230769
SEQ_077_VIDEO.mp4§1§22.42
SEQ_078_VIDEO.mp4§2§15.52
SEQ_079_VIDEO.mp4§4§5.528
SEQ_080_VIDEO.mp4§4§4.4639999999999995
SEQ_081_VIDEO.mp4§2§31.506666666666664
SEQ_082_VIDEO.mp4§2§26.52
