Sequence§nmf_0§nmf_1§nmf_2§nmf_3§nmf_4
SEQ_001§0.0§0.0§0.26268657971819753§0.0§0.0
SEQ_002§0.06975005832065702§0.0§0.1517229378571215§0.0§0.017637260199358618
SEQ_003§0.0§0.3613005851540298§0.010648248638497752§0.021863962628560312§0.0
SEQ_004§0.006900486593855605§0.10894028877120014§0.0§0.0§0.1282736340926751
SEQ_005§0.0§0.0§0.11315036107622979§0.07727544423631003§0.23245853035227868
SEQ_006§0.02398433079220307§0.0§0.11701877029602997§0.0§0.009948177423469989
SEQ_007§0.05283438580471652§0.0§0.08746339319283185§0.023028336174099866§0.04502629152620265
SEQ_008§0.020876688761084818§0.004060734234312839§0.21412868109173222§0.015928860556362934§0.014757867570846182
SEQ_009§0.0§0.0§0.24155178522155335§0.0§0.0
SEQ_010§0.003785077946686353§0.08160821989678756§0.1179710775260196§0.04739298038730053§0.06931333516264505
SEQ_011§0.2569285079831§0.0§0.0§0.15823171435040964§0.0
SEQ_012§0.0§0.0§0.2960720586254989§0.0§0.0
SEQ_013§0.02614355478344528§0.0§0.19769621304138554§0.18691009160974204§0.018236886070288873
SEQ_014§0.0§0.0§0.07634816633748567§0.09808849822305189§0.12221668166475297
SEQ_015§0.07236079814379376§0.003549622570566265§0.10275405252454609§0.035555476802442906§0.032340309383358724
SEQ_016§0.061796474374508865§0.0§0.11338602275605299§0.0896387063354606§0.01425712423545548
SEQ_017§0.05233516495098121§0.03574174785328967§0.17711001658039904§0.0960109443703632§0.0
SEQ_018§0.16476970571103663§0.08396213948782957§0.051601144092863614§0.0§0.00836399350617934
SEQ_019§0.0§0.0§0.23095761399605316§0.0§0.0
SEQ_020§0.04841286534833374§0.0039304350373211006§0.05869731887851081§0.22972276892890325§0.11240604792979231
SEQ_021§0.0§0.052982728089081346§0.11499163336729508§0.0§0.0
SEQ_022§0.0§0.003091509994467856§0.2360556157526897§0.12672721738593262§0.03959332378574565
SEQ_023§0.001937836456868352§0.027103676177851567§0.055294450500923485§0.03652483233529568§0.168191446092419
SEQ_024§0.21079066671688682§0.0§0.0§0.026356678923753898§0.0
SEQ_025§0.0§0.0§0.0716182196932006§0.24233383326194582§0.10974288758572438
SEQ_026§0.06587947257831857§0.0§0.24334052523701813§0.09995433023161426§0.005338389106722173
SEQ_027§0.01851245966703583§0.05268993342825229§0.0§0.09091606102079577§0.11948039474174373
SEQ_028§0.04441767722632028§0.014481711117223859§0.023767642585203964§0.0361441064098971§0.05892857905591604
SEQ_029§0.02305453683840638§0.05319180396510998§0.21963555399905835§0.02443103006663488§0.02874534601883632
SEQ_030§0.0§0.023681713215822978§0.12523408250309892§0.08202323335580525§0.0
SEQ_031§0.11745560750350566§0.0§0.0§0.1669082605147654§0.03502611843917108
SEQ_032§0.0504450564622913§0.010715380208001274§0.04102183103407708§0.2638364154538344§0.0
SEQ_033§0.05673087889309032§0.0§0.13537352270273514§0.054816675552978755§0.0
SEQ_034§0.0§0.014677238533592844§0.17556450818830838§0.06680692388919818§0.06798165556963706
SEQ_035§0.023392576415189076§0.0§0.031373360342886174§0.24922585542193584§0.06814470969677813
SEQ_036§0.07165065638353964§0.0§0.04133904933236579§0.043203104756085985§0.09889128269443438
SEQ_037§0.11591536771002264§0.0§0.002248046475178574§0.0§0.2233194025000077
SEQ_038§0.05783806593030871§0.006444178519017196§0.14822716847765527§0.04360790654832506§0.01334527704102923
SEQ_039§0.024543352756518567§0.0§0.051754588021223145§0.2211128191194784§0.005288755005994043
SEQ_040§0.09066358094944253§0.0§0.0§0.0§0.22262541102287337
SEQ_041§0.0§0.0§0.2509647184590386§0.09578099634686235§0.059392944793768485
SEQ_042§0.0§0.0§0.021810182873664683§0.36227176369749226§0.0
SEQ_043§0.19300810547432545§0.0§0.0015317030911442622§0.059201479023669026§0.06689227169536127
SEQ_044§0.13436115371850785§0.0§0.027382823586531026§0.11653844295302068§0.0
SEQ_045§0.034600786232781934§0.13836989328261917§0.05406183796378386§0.11275637571631471§0.0
SEQ_046§0.08741638276521033§0.031309454239520744§0.04260512295304653§0.0161016547407685§0.0
SEQ_047§0.15387496246327742§0.0§0.039601383783691955§0.0§0.0416625356104602
SEQ_048§0.0§0.0§0.20258541882594333§0.03905332173056463§0.01578567347924853
SEQ_049§0.011076557357787772§0.0§0.11926265478956924§0.016936702145387002§0.09869533939794353
SEQ_050§0.025016663871775934§0.0§0.10327440567209643§0.020094184050707502§0.05132710388217841
SEQ_051§0.059710672022816§0.0§0.06628313675374474§0.05110949996337206§0.06560577602426935
SEQ_052§0.10797134216380329§0.035489630038444776§0.0§0.06453628555014146§0.017927520859199977
SEQ_053§0.011233738871223035§0.1080244920868087§0.08538152429151134§0.020829731992808426§0.0178272983289332
SEQ_054§0.05387909040855952§0.00011082639654787055§0.0§0.19835201108434444§0.06524687997944008
SEQ_055§0.005764887128825306§0.0§0.0813535676934751§0.24030958619439652§0.0
SEQ_056§0.049397383853915934§0.007993393587206327§0.0§0.042638944488536265§0.0
SEQ_057§0.00766968653041761§0.004772321715475123§0.15346757062286417§0.004341948177798813§0.004242566285891037
SEQ_058§0.053314429729067844§0.0026053737642966345§0.08494828700645224§0.056564937923449986§0.0
SEQ_059§0.08801926841772761§0.09110104926395783§0.0§0.12677153813926062§0.004432463365873018
SEQ_060§0.0033442203468241846§0.011556096385873163§0.16866488145930136§0.11201112962213304§0.0
SEQ_061§0.06994498042290233§0.07229517235881566§0.0§0.06974066641772428§0.04630045677177772
SEQ_062§0.268975834593434§0.00677529978443014§0.0§0.0§0.029142537803298195
SEQ_063§0.006936637441426814§0.0§0.15978985471796875§0.21306947064614865§0.04879997745033672
SEQ_064§0.0026048840694300013§0.01928192690861214§0.023163824788409546§0.16345611794014447§0.02934961995814178
SEQ_065§0.0§0.2326615531381097§0.03703392429288872§0.0§0.0
SEQ_066§0.0§0.15760432009273237§0.0§0.0§0.08945794186142489
SEQ_067§0.08847469793364587§0.0§0.039246586985541246§0.20003113187383811§0.0
SEQ_068§0.0§0.44328497492642044§0.056255591189249436§0.045257377004865006§0.0
SEQ_069§0.0§0.0§0.0§0.024348056517431958§0.3273574008773201
SEQ_070§0.0§0.02891333080643169§0.059961936306302255§0.16916900871196464§0.0042454632985308985
SEQ_071§0.1032681896722967§0.0§0.01627177090523968§0.13565345212547397§0.027396758292649627
SEQ_072§0.00485202045130825§0.12469957072483952§0.0922146885638331§0.041639547650388915§0.027258488067524147
SEQ_073§0.03087317916475861§0.0069051709474945225§0.07734277671244769§0.1180884143605171§0.07811104709654519
SEQ_074§0.006533671029437792§0.03217234395686854§0.2268888085382072§0.0§0.0
SEQ_075§0.052945956627194875§0.01452460945620102§0.021547506776788943§0.025281482747603282§0.057306157471797764
SEQ_076§0.08216379765276892§0.07291112777351347§0.01735358231824948§0.13994497111875528§0.016212321216641748
SEQ_077§0.0§0.015413610030377847§0.0§0.015199663680700599§0.3014052934529548
SEQ_078§0.011553821867484958§0.3184751690480654§0.0004733837319450838§0.12469161876539128§0.0
SEQ_079§0.04986698483618943§0.04565271870910516§0.0010122465409524624§0.12173075639301975§0.09883186288453383
SEQ_080§0.009664135412747561§0.029325380726551768§0.029697676825464654§0.036501711081464404§0.00095250808601598
SEQ_081§0.00524107276316749§0.02555077677567819§0.18575236296507772§0.05792499808914878§0.018068076377649334
SEQ_082§0.04952329939271401§0.011711236172547232§0.1641368129769672§0.012307344683063187§0.04368486814850924
SEQ_083§0.04935311575811721§0.006340708408595601§0.16531437252373773§0.029100868165988475§0.058430195270552446
SEQ_084§0.0§0.0§0.0§0.3217419932417772§0.0
SEQ_085§0.022012529765288478§0.0§0.02686506082876345§0.0§0.2359132165517434
SEQ_086§0.0§0.19145815096158522§0.030470231662275787§0.0§0.1256460628961487
SEQ_087§0.008808660176969298§0.1235630203563791§0.0§0.10716201089547478§0.005520559892526811
SEQ_088§0.056034632483453056§0.0459109613524973§0.06720812178540055§0.0§0.03303318863630693
SEQ_089§0.008340550574719347§0.19327430162177625§0.0§0.01361362231298618§0.03841094887721603
SEQ_090§0.16598527287035317§0.0§0.0§0.04911917675860116§0.07150843368546035
SEQ_091§0.012526880965821932§0.0§0.12944899342355215§0.04185443452681446§0.02796234393848247
SEQ_092§0.0§0.0§0.1866679637208048§0.09550196630685942§0.0019431402165958978
SEQ_093§0.03237096777574847§0.0§0.006506278022378755§0.24244803809026444§0.0008893988657892307
SEQ_094§0.11280561963935215§0.0§0.0§0.029494586828095207§0.024359713861957673
SEQ_095§0.015428172026717398§0.2433190529447694§0.03159335182449758§0.001358140873181772§0.015259462790358858
SEQ_096§0.003921578783172593§0.007779455427825645§0.03378651738191439§0.13193457418866072§0.08281931047408904
SEQ_097§0.025962802412844432§0.0§0.03630468841284341§0.2329039957065241§0.035206968126964736
SEQ_098§0.0§0.0§0.040556487734602256§0.005108366607453085§0.20660956845545034
SEQ_099§0.12414131498854909§0.004216042872374754§0.0§0.00683484667311606§0.08512467028372905
SEQ_100§0.1739090278078322§0.00017557281473900012§0.0§0.21228600767300643§0.0
SEQ_101§0.061084027593147856§0.0§0.08078239516494977§0.050269491696716115§0.07218959888703708
SEQ_102§0.0§0.01411492130080443§0.039924187548877936§0.13073187267617722§0.11827294527381323
SEQ_103§0.033691087956154955§0.01986609894937259§0.08521601615711104§0.048721173793620995§0.057128258116343464
